TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Keywords
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0208246,2006-34404-17602,Food  Quality Program FY2006,National Institute of Food and Agriculture,NIFA Non Formula,254161.0,"Smiley, SC.",COMPLETE,"improved fish quality, pulsed uv sterilization, fish digestibility"
PROJECT,SHELDON JACKSON COLLEGE,0208417,2006-38426-17286,Continuing the Strengthening of Sheldon Jackson College's Educational Capacities in Fisheries and Outdoor Programs,National Institute of Food and Agriculture,NIFA Non Formula,150000.0,"Goff, M.",COMPLETE,"fisheries, hatchery, outdoor leadership, sheldon jackson college, mariculture, net pens, chum salmon"
PROJECT,UNIVERSITY OF ALASKA,0197309,1999-35101-13987,The Effect of Harvester Ant Nests on Nitrogen Cycling in Arid Rangeland Soils,National Institute of Food and Agriculture,NIFA Non Formula,32474.85,"Wagner, D.",COMPLETE,"formicidae, pogonomyrmex, nutrient cycling, nitrogen, phosphorus, erosion, deserts, denitrification, decomposition, soil bacteria, soils, nests, arid regions, soil mineralization, biomass, soil microbiology, biodiversity, microbial ecology, rangelands, soil plant nutrient relations, insect ecology, shrubs, soil properties, nutrient content, soil nutrients"
PROJECT,UNIVERSITY OF ALASKA,0196813,2003-38426-13948,Year 3: A Collaboration Between the College of Rural Alaska Extended Campuses and the Alaska Cooperative Extension Service,National Institute of Food and Agriculture,NIFA Non Formula,923432.0,"Nakazawa, A.",COMPLETE,"retention, higher education, minorities, food, recruitment, students, college students, collaboration, education programs, rural areas, alaska, agriculture, extension, rural communities, opportunities, curriculum, american indians, educational materials"
PROJECT,SAES - UNIVERSITY OF ALASKA,0194090,2002-34158-12809,University of Alaska Southeast Forest Products Program (UASFPP) Phase 3,National Institute of Food and Agriculture,NIFA Non Formula,595827.0,"Barber, V. A.",COMPLETE,"wood properties, technology transfer, alaska, forest products, wood, lumber, composite wood, composites, betula, pulp, wood pulp, grading, forest management, agroforestry, marketing, marketing systems, forest economics, forest industries, process development, forest engineering, cost effectiveness, value added, production systems, economic structure, training, economic development"
PROJECT,SAES - UNIVERSITY OF ALASKA,0206632,2006-45066-03533,Food Preparation and Marketing 2006,National Institute of Food and Agriculture,NIFA Non Formula,314582.0,"Dinstel, R. R.",COMPLETE,"home economics, food preservation, nutrition, expanded food and nutrition education program, learning modules, digital video files, nonformal education, food safety, health status, indigenous food"
PROJECT,SAES - UNIVERSITY OF ALASKA,0218827,2009-41534-05539,AK Extension IPM Coordination Program,National Institute of Food and Agriculture,NIFA Non Formula,57610.0,"Shipka, MI, P..",COMPLETE,"Alaska IPM, agriculture, biocontrol, chemical control, commercial horticulture, cultural control, disease control, insect control, integrated pest management, mechanical control, organic grown, pest control, urban horticulture, weed control"
PROJECT,UNIVERSITY OF ALASKA ANCHORAGE,0218733,2009-38426-19815,"ACTIVE (Alaska Community Training, Instruction, and Vocational Education) Project",National Institute of Food and Agriculture,NIFA Non Formula,400000.0,"Sparrell, LI.",COMPLETE,"Hunger, Service Learning, alaska native students, community food banks, food security, hunger, nutrition, recruitment and retention, rural alaskan students, service learning"
PROJECT,KUSKOSWIM CAMPUS - UAF,0210828,2007-38426-18271,Elitelta Naunranek: Let's Study Plants,National Institute of Food and Agriculture,NIFA Non Formula,359223.0,"Pete, M.",COMPLETE,"ethnobotany, indigenous plants, traditional knowledge, academic credentials, emerging scholars program, community partnerships, plant sciences, ecology, botany, curriculum development, summer science camp"
PROJECT,UNIVERSITY OF ALASKA,0210892,2007-38426-18270,Healthy Animals Healthy Communities,National Institute of Food and Agriculture,NIFA Non Formula,395527.0,"Johnson, C. R.",COMPLETE,"veterinary science, animal health, alaska native, education;"
PROJECT,SAES - UNIVERSITY OF ALASKA,0213942,2008-34418-19450,New Crops for Alaska VIII,National Institute of Food and Agriculture,NIFA Non Formula,307429.0,"Lewis, CA, E..",COMPLETE,"artificial insemination, bromegrass, cut flower production, driftwood, feed supplement, frozen semen, fuelwood model, mineralizable n, peony, reindeer, reproductive management, rural development, alaska, alaska, artificial insemination, bromegrass, calf growth, mineralized nitrogen, peony, reindeer"
PROJECT,UNIVERSITY OF ALASKA ANCHORAGE,0214495,2008-38426-19399,Nutrition and Wellness from College to Community,National Institute of Food and Agriculture,NIFA Non Formula,92705.0,"Painter, W. R.",COMPLETE,"nutrition, wellness, health, college students, community, education, safe food handling techniques"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0227431,2011-46100-31138,Promoting Fitness in Rural Alaska,National Institute of Food and Agriculture,NIFA Non Formula,111148.0,"Jones, DE.",COMPLETE,"alaska, alaska native foods, alaska natives, childhood obesity, elders, healthful food choices, mentoring, physical activity, remote rural alaska, youth, zumba"
PROJECT,HOMER SOIL & WATER CONSERVATION DISTRICT,0227311,2011-48738-31177,"Growing Healthy: Growing and Learning From People`s Gardens on the Southern Kenai Peninsula, Alaska",National Institute of Food and Agriculture,NIFA Non Formula,110500.0,"Lehner, DE.",COMPLETE,"anchor point,, community gardens,, educational gardens,, food security,, healthy lifestyles,, homer soil and water,, homer,, kenai peninsula,, mapp,, nanwalek,, native culture and nutrition, ninilchik, people's gardens,, port graham,, seldovia,, sustainable nutrition,, timebank,"
PROJECT,UNIVERSITY OF ALASKA SOUTHEAST,0225834,2011-38426-30608,Creating and expanding fisheries and aquaculture educational pathways in Alaska through university and community collaborations,National Institute of Food and Agriculture,NIFA Non Formula,413814.0,"Straley, JA.",COMPLETE,"Creating and expanding fisheries and aquaculture educational pathways in Alaska through university, aquacutlure, collaboration, distance delivery, fisheries, harmful algal blooms, mentoring, salmon aquaculture, secondary-post secondary pathways, student retention, workforce readiness"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0225978,2011-38426-30621,"Drumbeats: We Will Live Well, Year 4",National Institute of Food and Agriculture,NIFA Non Formula,3440306.0,"Pinney, PE.",COMPLETE,"alaska native, animal husbandry, education, environmental science, ethnobotany, large animal, rural, science, student support, veterinary, veterinary science"
PROJECT,"ORPC ALASKA, LLC",1004867,2014-33610-22118,Harnessing Clean River Energy with the RivGen Power System to Replace and Offset Diesel Fuel Use by Rural Communities,National Institute of Food and Agriculture,NIFA Non Formula,450000.0,"Worthington, MO.",ACTIVE,RivGen Power System. Isolated microgrid. Zero emissions. Hydrokinetic.
PROJECT,ILISAGVIK COLLEGE,0226209,2011-47002-30636,Extension Office planning Special Emphasis Project,National Institute of Food and Agriculture,NIFA Non Formula,248000.0,"Glover, BE, S..",COMPLETE,"Pilot Course Delivery, Pre Launch, Development Phase, Tribal Colleges Extension Services, extension"
PROJECT,JUNEAU COOP CHRSTN MNISTRY INC,0225453,2011-33800-30425,"Feed Juneau, the Glory Hole Community Garden",National Institute of Food and Agriculture,NIFA Non Formula,93825.0,"Lovishchuk, MA.",COMPLETE,"agriculture., community garden, flowers, community volunteers, organization, and the glory hole, food security, garden program developing, maintaining, reaping the downtown juneau, patrons, produce, food base, food box., roof the back of the glory hole lot, vegetables, herbs,eatable, training opportunity, urban development"
PROJECT,ILISAGVIK COLLEGE,0226812,2011-38421-30492,Alaska Native Traditional Foods Curriculum Development and Healthy Lifestyles Outreach,National Institute of Food and Agriculture,NIFA Non Formula,314693.0,"Sialofi, AM.",COMPLETE,"NUTRITION, food education, health care, healthcare, healthy recreation activity healthy lifestyles, native american food, nutrition, science, traditional"
PROJECT,CHUGACHMIUT,0222810,2010-33800-21314,Snaaqulluta Neqnek (Sharing Food) Community Food Assessment Project,National Institute of Food and Agriculture,NIFA Non Formula,25000.0,"Klingler, TA.",COMPLETE,"Snaaqulluta Neqnek; Community; Assessment; Health Initiative; Chugach Region; Alaska Native;, chugachmiut, community survey, food sharing assessment, restoring health, snaaqullutta neqnek"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0192393,2002-34385-12176,Alternative Salmon Products Program FY 2002,National Institute of Food and Agriculture,NIFA Non Formula,590213.0,"Smiley, S. T.",COMPLETE,"salmon, omega 3 fatty acids, food marketing, food quality, food composition, food products, quality maintenance, nutrient composition, human nutrition, alternatives, partnerships, consumer education, information dissemination, cholesterol, data bases, food analysis, research programs, program planning, reports, statistical models, regression analysis"
PROJECT,SAES - UNIVERSITY OF ALASKA,0197932,2003-34495-13988,"Controlled Environment Production of Small Fruits, Berries, Floral Crops and Greenhouse Adapted Food Crops",National Institute of Food and Agriculture,NIFA Non Formula,185744.0,"Karlsson, M. G.",COMPLETE,"greenhouse production, raspberries, controlled environment, berries, bees, pollination, market analysis, small fruit, crop production, floriculture, food quality, stress tolerance, pre harvest, production economics, cultivars, plant physiology, plant morphology, plant growth, cut flowers, fresh produce, education, demonstration, production systems"
PROJECT,SAES - UNIVERSITY OF ALASKA,0207242,2006-45046-03593,Alaska Remote Community Development,National Institute of Food and Agriculture,NIFA Non Formula,649123.0,"Gorman, R. F.",COMPLETE,"alaska, cooperative extension, extension service, rural development, rural communities, rural entrepreneurship, natural resources, mining & mineral exploration, native americans, native communities, forest resources, wildfire & rural residences, , natural resource economics, native plant propagation, youth development, rural workforce development"
PROJECT,Prince William Sound Community College,0198327,2003-38426-14088,Safe Handling and Marketing of Native Foods,National Institute of Food and Agriculture,NIFA Non Formula,179002.0,"Linn, D. J.",COMPLETE,"food handling, food safety, food marketing, delivery systems, educational materials, education programs, food, training, food processing, quality maintenance, food quality, curriculum, alaska, curriculum content, education, workshops, marketing strategies, economic development, agricultural economics, technical assistance, consultation, hawaii, tourism, environmental quality, seafood, aquaculture"
PROJECT,"Alaska Manufacturers` Assoication, Inc.",0199729,2004-38884-02217,Salmon Quality Standards,National Institute of Food and Agriculture,NIFA Non Formula,125615.0,"Arnsdorf, D. R.",COMPLETE,"salmon, seafood, meat quality, standards, fish, harvesting, food processing, inspection, quality maintenance, alaska, sensory evaluation, food storage, quality control, certification, training, supervision, grading, verification, processors"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0204774,2005-34385-16397,CSREES Special Grant:  Alternative Salmon Products Program FY2005,National Institute of Food and Agriculture,NIFA Non Formula,1025995.0,"Smiley, SC.",COMPLETE,"alaska, baby foods, clams, delivery systems, education programs, extension programs, feasibility, fish, food contamination, food packaging, food preservation, food processing, food quality, food safety, food spoilage, indicators, listeria, new foods, probiotics, prototypes, quality maintenance, research programs, salmon"
PROJECT,UNIVERSITY OF ALASKA ANCHORAGE,0204527,2005-38426-16113,"Student Recruitment, Retention and Educational Equity",National Institute of Food and Agriculture,NIFA Non Formula,182000.0,"Linn, D.",COMPLETE,"alaska, recruitment, retention, education, education programs, college students, tourism, hotels, restaurants, rural areas, environment, food handling, food, food safety, food marketing, american indians, ethnic groups, certification, distance education, delivery systems, new technology, camping, services, training, economic development, employment, counseling, workshops"
PROJECT,SAES - UNIVERSITY OF ALASKA,0193555,2002-51110-01510,Salmon Can Seam Evaluation,National Institute of Food and Agriculture,NIFA Non Formula,60805.0,"Luick, B. R.",COMPLETE,"salmon, botulism, cans, food processing, food safety, food preservation, food packaging, workshops, food contamination, food processing equipment, training, timing, sealing, seals, publications, information dissemination, extension, smoked meat, home canning, home processing, alaska"
PROJECT,ALASKA GREEN GOLD,0196422,2003-33610-13057,"Marketing Plan to Export, Plant, Monitor and Evaluate Seed Potatoes in China",National Institute of Food and Agriculture,NIFA Non Formula,75000.0,"Smith, D. C.",COMPLETE,"china, solanum tuberosum, seed potatoes, certification, sanitation, potatoes, tubers, marketing, international trade, exports, monitoring, plant evaluation, planting, agricultural economics, crop varieties, agreements, disease free organisms"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0195272,2003-34422-13376,"Seafood Harvesting, Processing and Marketing Program FY 2003",National Institute of Food and Agriculture,NIFA Non Formula,1114462.0,"Smiley, SC.",COMPLETE,"alaska, animal physiology, crabs, fish, fisheries, food economics, food marketing, food nutritive value, food processing, halibut, harvesting, mariculture, market share, omega 3 fatty acids, pollock, research equipment, seafood, surimi, survival, whitefish, salmon"
PROJECT,ILISAGVIK COLLEG,0200450,2004-38426-14849,"Health, Nutrition, and the Inupiat Culture",National Institute of Food and Agriculture,NIFA Non Formula,149732.0,"Hartman, M.",COMPLETE,"human nutrition, human health, training, science, american indians, alaska, employment, experience, learning, culture (sociology), traditionalism, sociology, colleges, partnerships, recruitment, curriculum, curriculum content, diet, nutrition education, education programs"
PROJECT,UNIVERSITY OF ALASKA ANCHORAGE,0200474,2004-38426-14643,USDA Program Access for Remote Students,National Institute of Food and Agriculture,NIFA Non Formula,181789.0,"Linn, DE, J..",COMPLETE,"alaska, american indians, awareness, community colleges, curriculum, curriculum content, education, education programs, peers, publications, recruitment, rural areas, students, success, teaching, world wide web, distance education"
PROJECT,SAES - UNIVERSITY OF ALASKA,0220446,2009-34158-20313,University of Alaska Fairbanks Forest Products Program Year 9,National Institute of Food and Agriculture,NIFA Non Formula,605962.0,"Barber, VA.",COMPLETE,"ALASKA, alaska, balsam poplar, biofuel, biofuels, biomass, black cottonwood, forest products, marketing, physical & mechanical properties, populus balsamifera, populus tremuloides, populus trichocarpa, quaking aspen, wood products"
PROJECT,SAES - UNIVERSITY OF ALASKA,0216907,2009-35215-05191,Alaska Food Plan Pilot Project,National Institute of Food and Agriculture,NIFA Non Formula,70529.0,"Luick, B. R.",COMPLETE,"food cost, efnep, diet quality, obesity, optimization, food plan"
PROJECT,"ALASKA NATIVE TRIBAL HEALTH CONSORTIUM, INC",0209495,2007-55215-17923,Helping Ourselves to Health:  Addressing Factors that Contribute to Obesity among Alaska Natives,National Institute of Food and Agriculture,NIFA Non Formula,1313982.0,"Gilbert, TI.",COMPLETE,"alaska native, fruits and vegetables, obesity, traditional foods, fdpir"
PROJECT,SCIENTIFIC FISHERY SYSTEMS,0213523,2008-33610-18868,Rural Coastal Alaska Fish Waste Utilization,National Institute of Food and Agriculture,NIFA Non Formula,80000.0,"Simpson, P. K.",COMPLETE,"fish waste utilization, biofuel, salmon byproducts, fish meal, fish oil"
PROJECT,UNIVERSITY OF ALASKA SOUTHEAST,0208226,2006-38426-17594,Strengthening Alaska and Hawai'i Student and Faculty Partnerships Through Experiential Learning,National Institute of Food and Agriculture,NIFA Non Formula,724039.0,"Straley, JA.",COMPLETE,"advanced high school students, alaska, data analysis, experiential learning, hawai'i, humpback whales, migration patterns, scientific research, Connecting the Ocean Pathways in Coastal Alaska thru Research, Education & Experience in Sciences, undergraduate students"
PROJECT,TYONEK TRIBAL CONSERVATION DISTRICT,1005169,2015-70017-22859,"Education, Outreach, and Training to Alaska Native Beginning Farmers and Ranchers",National Institute of Food and Agriculture,NIFA Non Formula,427740.0,"Cincotta, CH.",ACTIVE,"Tribal Conservation District, alaska native, socially disadvantaged farmers and ranchers"
PROJECT,ILISAGVIK COLLEGE,1003517,2014-47002-22176,Community Partnership:Extension Office Capacity Building Project,National Institute of Food and Agriculture,NIFA Non Formula,198619.0,"Glover, BE, S..",ACTIVE,community partnership
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1003790,2014-41520-22204,Fostering Youth Towards a Revolution of Responsibility,National Institute of Food and Agriculture,NIFA Non Formula,228750.0,"Dierenfield, CA.",ACTIVE,alaska
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,1007627,2015-41210-24202,Alaska Disaster Preparedness,National Institute of Food and Agriculture,NIFA Non Formula,19173.0,"Nash, AR.",ACTIVE,alaska
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0188165,2001-34385-10540,CSREES Fourth Alternative Salmon Products Program FY2001,National Institute of Food and Agriculture,NIFA Non Formula,602012.0,"Smiley, S. T.",COMPLETE,"salmon, fish products, seafood, food marketing, new products, exports, fishing, economic development, fisheries, economic analysis, case study, value added, food processing, processing facilities, fillets, skills, equipment development, market competition, training programs, education programs, marketing strategies"
PROJECT,SCIENTIFIC FISHERY SYSTEMS,0218654,2009-33610-19895,Phase II : Rural Coastal Alaska Fish Waste Conversion,National Institute of Food and Agriculture,NIFA Non Formula,349959.0,"Simpson, PA, K.",COMPLETE,"ALASKA, Fish Meal, Fish Oil, Fish Waste Conversion, Rural economic development, Salmon, alaska, fish meal, fish oil, fish waste, rural economic development, salmon"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0217668,2009-41580-05332,Tanana Chiefs Conference Federally Recognized Tribes Extension Program,National Institute of Food and Agriculture,NIFA Non Formula,397003.0,"Rader, HE.",COMPLETE,"agriculture supplies, alaska, alaska native, demonstration, education, energy, food preservation, food security, garden, healthy lifestyle, natural resource, nutrition, road inaccessible, rural, self sufficiency, soil, sustainable agriculture, tanana chiefs conference, tribal conservation, youth development"
PROJECT,EXT - ALASKA COOPERATIVE EXTENSION SERVICE,0222181,2010-41534-21363,FY10 AK Extension IPM Coordination Program,National Institute of Food and Agriculture,NIFA Non Formula,189348.0,"Shipka, MI.",COMPLETE,"alaska, alaska cooperative extension, alaska ipm program, consumer/urban gardeners, funding partnerships, home horticulture, improved ipm communication, ipm, ipm informational summit, ipm pest scouts, pest identification, pest monitoring, pests, small farms, stakeholder groups"
PROJECT,UNIVERSITY OF ALASKA FAIRBANKS,0214518,2008-38426-19312,"Drumbeats: We Will Live Well, Year 3",National Institute of Food and Agriculture,NIFA Non Formula,3205940.0,"Joseph, BE.",COMPLETE,"Alaska Native, alaska, alaska native, education, environmental science, ethnobotany, food security, large animal, reindeer herding, rural, science, student support, subsistence, veterinary, veterinary science"
PROJECT,UNIVERSITY OF ALASKA,0214311,2008-35102-19215,Partitioning Behavior Of Pathogen Indicator Microbes In Springtime Meltwater,National Institute of Food and Agriculture,NIFA Non Formula,99951.0,"Schnabel, W. E.",COMPLETE,"water quality, , watershed protection, , zoonotic pathogens, , total suspended solids, , snow management, agricultural waste management, snow lysimeters, , winter survival, , total coliform, , e. coli, , enterococcus, , particulates, , manure"
PROJECT,SAES - UNIVERSITY OF ALASKA,0197421,2003-34158-14063,University of Alaska Southeast Forest Products Program - Year Four,National Institute of Food and Agriculture,NIFA Non Formula,584575.0,"Barber, V. A.",COMPLETE,"forest products, alaska, wood physical properties, strength, wood properties, market surveys, grading, value added, tsuga heterophylla, consumer attitudes, purchasing, agroforestry, resource management, forest resources, food processing, waste utilization, standards, market information, forest economics, economic development, forest industries, industrial structure, market competition, regional economy, composite wood"
PROJECT,Univerisity of Alaska Southeast,0204704,2005-35102-16289,Salmon and Wetland Influences on Carbon and Nutrient Cycling in Forested Watersheds,National Institute of Food and Agriculture,NIFA Non Formula,295000.0,"Hood, E.",COMPLETE,"nutrient cycling, salmon, stable isotopes, wetlands, alaska, carbon, peat, carbon cycle, forest watersheds, forest ecology, hydrology, streams, surface waters, water chemistry, organic matter, fluorescence, fractionation, conifers, watershed management, phosphorus, nitrogen, groundwater, nutrient availability, carcasses, nutrient sources"
PROJECT,SAES - UNIVERSITY OF ALASKA,0203883,2005-34553-15965,"Greenhouse Crop Production, Alaska -II",National Institute of Food and Agriculture,NIFA Non Formula,415769.0,"Karlsson, M. G.",COMPLETE,"greenhouse production, crop production, crop management, controlled environment, budgets, demand, alaska, agricultural economics, beans, tomatoes, vegetables, herbs, cut flowers, small fruit, bedding plants, potted plants, horticultural crops, economic opportunities, information dissemination, guidelines, efficiency, irrigation, fertilization, growing season, protective tunnels"
PROJECT,UNIVERSITY OF ALASKA,0204336,2005-35504-16092,Utilization of Citrus Fruit Peel Waste Materials As a Biosorbent for Heavy Metal Removal From Waste Water,National Institute of Food and Agriculture,NIFA Non Formula,388524.0,"Schiewer, S.",COMPLETE,"heavy metals, pectin, modeling, ph, sorption, citrus, fruit, ions, electrostatics, peel, waste utilization, waste water, alaska, pollution control, algae, polysaccharides, engineering, desorption, mathematical models, ion exchange, binding, mechanisms"
PROJECT,SAES - UNIVERSITY OF ALASKA,0204514,2005-45057-03290,Food Product Development 2005,National Institute of Food and Agriculture,NIFA Non Formula,453304.0,"Dinstel, R. R.",COMPLETE,"antioxidants, food, food products, alaska, wild plants, berries, small businesses, economic development, food economics, cottage industries, diet, food chemistry, food nutritive value, dietary fibers, caloric content, vitamins, recommendations, human nutrition, nutrient requirements, food processing, harvesting, brain, heart, functional foods"
PROJECT,SHELDON JACKSON COLLEGE,0204526,2005-38426-16046,Strengthening Sheldon Jackson College's Education Capacities in Fisheries and Outdoor Leadership,National Institute of Food and Agriculture,NIFA Non Formula,205395.0,"Harrington, M.",COMPLETE,"mariculture, environmental education, community development, fisheries, hatcheries, leadership, colleges, education, education programs, college students, environment, outdoor recreation, opportunities, experience, learning, long term, geography, information dissemination, american indians, alaska, recruitment"
PROJECT,SAES - UNIVERSITY OF ALASKA,0203749,2005-34525-15953,"Ethnobotany Research, Alaska II",National Institute of Food and Agriculture,NIFA Non Formula,262981.0,"Lewis, C. E.",COMPLETE,"native plants, alaska, ethnobotany, pharmaceuticals, nutraceuticals, state government, law, traditionalism, harvesting, research, medicinal plants, policy analysis, american indians, public lands, commercialization, resource management, natural resources, entrepreneurs, guidelines"
PROJECT,UNIVERSITY OF ALASKA SYSTEM,0195273,2003-34385-14055,Alternative Salmon Products Program FY 2003,National Institute of Food and Agriculture,NIFA Non Formula,586021.0,"Smiley, SC.",COMPLETE,"alaska, alternatives, certification, education programs, extension, food economics, food industry, food marketing, food products, food quality, food storage, funding, information dissemination, inspection, market competition, niches, quality maintenance, research programs, seafood, salmon"
PROJECT,SAES - UNIVERSITY OF ALASKA,0197969,2003-34518-14044,Alaska Seed Grower's Assistance Program,National Institute of Food and Agriculture,NIFA Non Formula,301834.0,"Lewis, C. E.",COMPLETE,"seed production, crop production, breeder seed, revegetation, seeds, native plants, alaska, range management, resource management, quality maintenance, production systems, new crops, program planning, agricultural education, education programs, technical assistance, manuals, educational materials, information dissemination, landscaping, weed control, best management practices"
PROJECT,SAES - UNIVERSITY OF ALASKA,0201250,2004-34418-15107,New Crops and Livestock Opportunities V,National Institute of Food and Agriculture,NIFA Non Formula,417884.0,"Lewis, C. E.",COMPLETE,"reindeer, meat processing, muskoxen, radioimmunoassays, animal hormones, leptin, thyroid gland, reproductive performance, livestock management, oilseeds, feed processing, canola, paeonia, haylage, geographic information systems, compaction, baling, irrigation, alaska, chamaecyparis nootkatensis, new crops, economic opportunities, quality maintenance, winter hardiness, value added, profitability, economic viability, validation, peroxides, remote sensing"
PROJECT,SHELDON JACKSON COLLEGE,0200478,2004-38426-14639,Sheldon Jackson College Fisheries and Environmental Sciences: Sustainability Through Community Connections,National Institute of Food and Agriculture,NIFA Non Formula,192613.0,"Harrington, D.",COMPLETE,"collaboration, alaska, environment, work, laboratories, colleges, fisheries, sustained use, rural communities, recruitment, retention, education programs, research equipment, supplies, salmon, nets, pens, aquaculture, low income"
PROJECT,SAES - UNIVERSITY OF ALASKA,0195792,2003-45057-01644,Alaska CES Continuing Food Product Development 03,National Institute of Food and Agriculture,NIFA Non Formula,429192.0,"Long, K. A.",COMPLETE,"cultivated plants, shelf life, food safety, food marketing, nutrition education, sensory evaluation, home processing, extension, alaska, food products, product development, value added, wild plants, recipes, testing, nutrient content, food nutritive value, food preservation, pet food, meat products, kitchens, tomatoes, sauces, smoked meat, fresh produce"
