TYPE,Grantee Name,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Award Amount,Project Director Full Name,Project Status,Non-Technical Summary,Objectives,Keywords
PROJECT,SAES - UNIVERSITY OF MINNESOTA,1007019,2016-67021-24534,Surveying and Servoing as Canonical Tasks to Enable Future Farms with Commercial Off-The-Shelf Robots,National Institute of Food and Agriculture,NIFA Non Formula,914565.0,"Isler, IB.",ACTIVE,"Specialty crop growers rely on manual labor for fruit-picking, inspection, data collection for precision agriculture and similar labor-intensive tasks. It has been difficult to automate these tasks because specialty farms are much less structured environments when compared to commodity farms. However, there is a great need for automating specialty crop tasks because seasonal workers are costly and in short supply and collecting data for precision agriculture methods is difficult. Robotic systems capable of performing specialty crop tasks are becoming commercially available, more robust and affordable. What is missing are planning algorithms required for these robots to autonomously operate in complex environments such as apple orchards. The ultimate goal of the proposed work is to develop algorithms so that Commercial Off-The-Shelf (COTS) robot systems can be used in automation tasks involving specialty crops.The project will focus on two sets of problems: (1) Surveying problems require planning the trajectory of a sensor to collect information about objects of interest. Such sensor planning problems in three-dimensional, complex environments are provably hard. The proposed work introduces new sensor planning problems in environments which are both general enough to capture the complexity of objects encountered on small farms (e.g., trees), and sufficiently constrained so that their visibility properties can be exploited to design efficient algorithms. (2) For end-effector placement, we introduce new visual servoing path planning techniques utilizing multiple arms for operation in cluttered environments with obstacles, such as the branches of a fruit tree.These algorithms will be implemented and tested in the context of two field studies involving quality inspection with near infra-red (NIR) sensors mounted on a COTS robotic manipulator and surveying to collect harvest related data. These studies, combined with the surveying and servoing algorithms, open possibilities for developing new metrics, tools and techniques for agricultural sciences by enabling data collection in scales not possible for humans.","The goal of this project is to develop planning algorithms for robots to autonomously operate in complex environments such as apple orchards so that Commercial Off-The-Shelf (COTS) robot systems can be used in automation tasks involving specialty crops.The project will focus on two sets of problems: (1) Surveying problems require planning the trajectory of a sensor to collect information about objects of interest. Such sensor planning problems in three-dimensional, complex environments are provably hard. The proposed work introduces new sensor planning problems in environments which are both general enough to capture the complexity of objects encountered on small farms (e.g., trees), and sufficiently constrained so that their visibility properties can be exploited to design efficient algorithms. (2) For end-effector placement, we introduce new visual servoing path planning techniques utilizing multiple arms for operation in cluttered environments with obstacles, such as the branches of a fruit tree.",Robotic Sensing; Sensor Planning; Servoing and Manipulation; Farm Surveying
PROJECT,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,1007747,2016-67017-24461,"Diet, gut microbiota, and butyrate: investigting the epigenetic mechanism that prevents colorectal inflammation and tumorigenesis",National Institute of Food and Agriculture,NIFA Non Formula,499741.0,"Bultman, SC, J.",ACTIVE,"Colorectal cancer is a leading cause of cancer morbidity and mortality. The overall goal of this application is to understand how the combination of dietary fiber and gut microbiota confer a protective effect so that probiotic and prebiotic approaches can be implemented. Furthermore, our gut microbiome is being implicated in many aspects of human health, and this work will establish a role for our gut microbiota in colorectal cancer prevention as well as an epigenetic mechanism involving the microbial metabolite butyrate acting as a histone deacetylase inhibitor.","Long-Term Goals, Central Hypothesis, and Supporting ObjectivesWhether dietary fiber protects against colorectal cancer (CRC) has been controversial because of conflicting results from human epidemiologic studies. However, these studies and mouse models of CRC have not controlled the composition of gut microbiota, which ferment fiber into short-chain fatty acids such as butyrate. Butyrate is noteworthy because it has energetic and epigenetic functions in colonocytes and tumor-suppressive properties in CRC cell lines. We recently developed a gnotobiotic mouse model of CRC colonized with wild-type or mutant strains of a butyrate-producing bacterium to demonstrate that fiber does have a potent tumor-suppressive effect but in a microbiota- and butyrate-dependent manner. The next challenge is to characterize the mechanism of tumor suppression. Our overarching hypothesis is that the fiber-microbiota-butyrate axis epigenetically regulates the expression of genes involved in cell proliferation, apoptosis, and inflammation in both neoplastic colonocytes and immune cells within the tumor microenvironment. Although butyrate is a well-known histone deacetylase (HDAC) inhibitor, the target genes important for tumor suppression in vivo have yet to be identified. It also is not known whether the source of dietary fiber is a significant factor or if other bioactive food components can interact with fiber and butyrate to increase the efficacy of tumor suppression. To address these gaps in our knowledge and achieve the objectives of this application, we propose an experimental plan that includes the following Aims:Aim 1: Characterize fiber-microbiota-butyrate induced changes in histone acetylation and gene expression during tumor suppression. Germfree mice will be colonized with specific gut microbiota, including either a wild-type or mutant strain of butyrate-producing bacterium, while maintained in gnotobiotic isolators. These mice will receive control (low-fiber) or high-fiber diets and will be treated with AOM/DSS (azoxymethane/dextran sodium sulfate) to induce colorectal tumors. ChIP-seq will be used to identify histone acetylation profiles for every gene in the genome. H3K9ac and H3K27ac will be analyzed because they are highly enriched at gene promoters and enhancers of transcribed genes, respectively. H3K27ac is also a marker of variant enhancer loci that differ between normal colonic tissue and CRC in human clinical samples. These epigenomic data will be integrated with transcriptome profiles obtained from the same samples using RNA-seq. In addition to normal colonic tissues and colorectal tumors, flow-sorted immune cells within the tumor microenvironment will be analyzed because tumor suppression could be mediated, in part, through decreased inflammation.Aim 2: Determine the relative importance of the fiber-microbiota-butyrate axis in anti-inflammatory-mediated tumor suppression. Butyrate is known to have anti-inflammatory effects, and we hypothesize that this contributes to tumor suppression. Gnotobiotic mice colonized with bacteria that ferment fiber into either low or high levels of butyrate will be treated with AOM alone or AOM/DSS to induce colorectal tumors. The former is associated with less inflammation than the latter, and this comparison will provide insight into whether the protective effect is linked to inflammation. Additionally, for the AOM/DSS model, the tumor burden of wild-type mice will be compared to RAG-2- and IL-10-deficient mice because their immune responses are modulated in opposite directions. RAG-2 mutants lack functional T cells and B cells and have a diminished immune response, whereas IL-10 mutants lack a crucial immunosuppressive cytokine and have an aberrantly heighted immune response. The RAG-2-deficient mice will interrogate the function of T cells and B cells in tumor suppression, and this is expected to complement the histone acetylation and transcriptome studies on these cells in Aim 1. IL-10-deficient mice are particularly relevant to our experimental design because IL-10 regulates the inflammatory response of immune cells to commensal bacteria in the colon. Tumors will be characterized histopathologically and using markers of cell proliferation and apoptosis. The immune response will be analyzed by flow cytometry and multiplexed biomarker assays for 50 cytokines/chemokines.Aim 3: Evaluate different sources of fiber and omega-3 fatty acids in tumor suppression. First, we will compare two sources of dietary fiber in our gnotobiotic mouse model of CRC. We hypothesize that fructo-oligosaccharides (FOS)/inulin will have a stronger tumor-suppressive effect than wheat bran because the former is fermented by gut microbiota to a greater extent than the latter. Second, we will investigate whether omega-3 fatty acids increase the efficacy of the fiber-microbiota-butyrate axis in tumor suppression. Our gnotobiotic mouse model of CRC will be provided two omega-3 fatty acids, alone or in combination with a high-fiber diet. Based on our preliminary studies in CRC cell lines, our hypothesis is that a diet where fiber/butyrate and docosahexaenoic acid (DHA) are combined will have a stronger protective effect than either bioactive food component alone. Our cell line data suggest that another omega-3 fatty acid, eicosapentaenoic acid (EPA), will not interact with fiber and butyrate to the same extent. To address mechanism, we will assess whether DHA influences butyrate metabolism or if it has a significant effect on inflammation. The former will be accomplished by measuring intracellular butyrate concentrations by LC-MS, while the latter will be investigated by flow cytometry and multiplexed biomarker assays for 50 cytokines/chemokines.","butyrate, colorectal cancer, dietary fiber, inflammation, microbiome"
PROJECT,SAES - UNIVERSITY OF CONNECTICUT,1007778,2016-67018-24492,Blackcurrant Prevents Osteoporosis Associated with Aging by Inhibiting Formation of Advanced Oxidation Protein Products,National Institute of Food and Agriculture,NIFA Non Formula,150000.0,"Chun, OC, KY.",ACTIVE," The goal of this project is to investigate the inhibitory effect of dietary blackcurrant on the formation of advanced oxidation protein products (AOPPs) and aging-associated bone loss in a mouse model of aging. Evidence indicates that AOPPs play a crucial role in aging-associated bone loss and suggests that the consumption of antioxidant-rich foods may lower the risk of aging-associated osteoporosis by reducing AOPPs. Our preliminary studies with cell and animal models have shown that blackcurrant or its anthocyanin-rich extract is effective in reducing bone loss in ovariectomized (OVX) mice. However, the animal model used might not adequately mimic the conditions of aging-associated bone loss coupled with menopause that exist in middle-aged and older women. Furthermore, the mechanisms underlying the inhibitory effect of antioxidants on the formation of AOPPs in vivo still remain unknown. The main objectives of our proposed study are to determine the effects of blackcurrant in attenuating aging-associated bone loss and to define the underlying mechanisms in a mouse model of bone aging. The proposed research is designed to answer an important question of whether, and if so how, long-term berry consumption reduces aging-associated bone loss in this mouse model of aging. Thus, this proposed study is an important step toward discovering potential dietary agents that may be effective in preventing bone loss. Findings from the proposed research may serve as a basis for future clinical trials to evaluate the bone-protective effect of blackcurrant in high-risk older women. The proposed study is consistent with the USDA NIFA Program Area Priority of Function and Efficacy of Nutrients (A1341).","The goal of this project is to investigate the inhibitory effect of dietary blackcurrant on the formation of advanced oxidation protein products (AOPPs) and aging-associated bone loss in a mouse model of aging. Evidence indicates that AOPPs play a crucial role in aging-associated bone loss and suggests that the consumption of antioxidant-rich foods may lower the risk of aging-associated osteoporosis by reducing AOPPs. Our preliminary studies with cell and animal models have shown that blackcurrant or its anthocyanin-rich extract is effective in reducing bone loss in ovariectomized (OVX) mice. However, the animal model used might not adequately mimic the conditions of aging-associated bone loss coupled with menopause that exist in middle-aged and older women. Furthermore, the mechanisms underlying the inhibitory effect of antioxidants on the formation of AOPPs in vivo still remain unknown. The main objectives of our proposed study are to determine the effects of blackcurrant in attenuating aging-associated bone loss and to define the underlying mechanisms in a mouse model of bone aging.","Advanced Oxidation Protein Products (AOPPs), Blackcurrant, aging, antioxidants, bone, osteoporosis"
PROJECT,SAES - UNIVERSITY OF WISCONSIN,1007800,2016-67015-24573,The Role Of Hepatic Adiponutrin In Regulating Lipid Accumulation In Dairy Cows,National Institute of Food and Agriculture,NIFA Non Formula,500000.0,"White, HE, M..",ACTIVE,"Over 60% of all dairy cows develop fatty liver during the transition to lactation, resulting in a significant negative impact on milk production, cow health, and profitability. There is a critical need to identify metabolic or genetic factors that can predispose dairy cows to develop fatty liver. Our long-term goal is to understand the onset and progression of fatty liver disease and to develop targeted prevention strategies. Our central hypothesis is that adiponutrin regulates lipid metabolism in the liver and that decreased adiponutrin activity increases susceptibility to lipid accumulation. Our objectives are to 1) evaluate adiponutrin mRNA and protein expression in control and induced fatty liver transition cows; 2) determine regulation of adiponutrin mRNA and protein by fatty acids and elucidate the role of adiponutrin in triglyceride accumulation in primary hepatocytes using mRNA silencing; and 3) determine if mutations in the adiponutrin gene are linked to different hepatic lipid infiltration phenotypes. We expect that cows with fatty liver will have decreased adiponutrin expression during fatty liver onset and that on a larger scale, cows with greater liver lipids after calving will have mutations in adiponutrin that will decrease protein activity. We also anticipate that fatty acids will regulate adiponutrin expression and that when adiponutrin is knocked down chemically, there will be more lipid accumulation. Elucidating the regulation of adiponutrin will highlight potential interventions to improve liver efficiency and prevent fatty liver, and potentially provide a tool to identify cows predisposed to fatty liver.","Ourcentral hypothesisis that adpn regulates hepatic lipolysis in dairy cattle and that decreased adpn activity increases susceptibility to lipid accumulation. We have formulated this hypothesis based on the similarities in the etiology and progression between human non-alcoholic fatty liver disease and bovine fatty liver. Extensive sequence homology between the bovine and human adiponutrin coding regions suggests that function and regulation of adpn in bovine and human are similar. The goals of this projectare to determine the role of adpn in regulating hepatic TG storage in dairy cattle, determine regulation of adpn by fatty acids, and to evaluate the phenotypic relationship between adpn expression, SNP presence, and hepatic lipid infiltration. Specific objectives are:Specific Aim #1: Evaluate adpn expression in transition cows and transition cows subjected to a fatty liver induction protocol,Specific Aim #2: Determine regulation of adpn mRNA and protein by fatty acids (aim 2a) and elucidate the direct role of adpn in TG accumulation in primary hepatocytes using adpn mRNA silencing techniques (aim 2b), andSpecific Aim #3: Determine if SNP variants in the bovine adpn gene are linked to phenotypes in dairy cows that differ with regard to hepatic lipid infiltration.","adiponutrin, fatty liver, hepatic, transition cow"
PROJECT,SAES - SOUTH DAKOTA STATE UNIVERSITY,1007874,2016-67016-24862,Effects of postruminal flows of amino acids on small intestinal starch digestion in cattle,National Institute of Food and Agriculture,NIFA Non Formula,500000.0,"Brake, DE, WI.",ACTIVE,"Starch is an energy dense polymer of glucose that makes-up most of the dietary energy found in cereal grains (e.g., corn, sorghum, wheat). Small intestinal digestion of starch is very poor in cattle in comparison to many nonruminants (e.g., pigs, humans, mice), and almost one-third of the energy absorbed from small intestinal starch digestion contributes to omental (i.e., belly) fat accretion, which provides little benefit in production of beef or milk. Greater flow of high-quality protein (i.e., casein) or a specific amino acid (i.e., glutamic acid) can increase small intestinal starch digestion in cattle; however, little is known about how greater flows of casein or glutamic acid increase small intestinal starch digestion or potential impacts on beef or milk production. We hypothesize that greater flows of casein or glutamic acid increase small intestinal starch digestion by different mechanisms in cattle and that apparent influences on beef production will differ. This project will allow greater understanding of how increased absorption of casein or glutamic acid increase small intestinal starch digestion by directly measuring pancreatic and small intestinal enzymes that can limit small intestinal starch digestion in cattle. Additionally, this project will provide insight to the potential value of increasing small intestinal starch digestion in cattle by greater postruminal flow of casein or glutamic acid by measuring increases in dietary energy (i.e., retained energy) and quantify fates in the body from starch digested in the small intestine. It is likely that the mechanisms that increase small intestinal starch digestion in response to greater postruminal flow of casein or glutamic acid differ and differences may have large impacts on dietary energy retained by cattle. Additionally, amounts of digested starch used for omental fat accretion may be less when small intestinal starch digestion is increased in response to greater small intestinal flows of casein or glutamic acid. Greater knowledge of how postruminal flow of casein or glutamic acid increase small intestinal starch digestion in cattle and subsequent impacts on beef production may allow for broader application of diets that can increase efficiency of beef production in the United States.","A major goal of this project is to improve knowledge of post-absorptive and metabolic effects among cattle with increased small intestinal starch digestion in response to to greater postruminal flows of glutamic acid or casein. Specific objectives of this project will include measures of : 1) increases in retained energy, 2) response among alpha-glycohydrolases important to small intestinal starch digestion in cattle, 3) fatty acid synthesis ratesamong different adipose depots from luminally assimilated glucose carbon, 4) response in hepatic gluconeogenesis, and 5) splanchnic extraction rates of luminally assimilated glucose carbon. Direct measures of small intestinal starch digestion will allow greater extrapolation of data by regression of responses relative to increased amounts of starch digested. ","Glutamic Acid, amino acid, cattle, metabolism, starch"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,1007906,2016-67017-24597,Development of High Oxygen-Barrier Multilayer Polymer Films for Improved Shelf-Life of Foods using Microwave and High-Pressure Technologies,National Institute of Food and Agriculture,NIFA Non Formula,456847.0,"Sablani, SH, S..",ACTIVE,"Microwave-assisted thermal sterilization (MATS) and high pressure processes (HPP) offer great potential for the development of high-quality foods. However, in order for these technologies to reach their full commercial potential, they require polymeric packaging with a high oxygen and water vapor barrier. Thermal and pressure processes cause structural changes in polymers and increase their oxygen and water vapor transmission rates (OTR and WVTR), degrading the quality of processed foods during long-term storage and reducing their shelf-life to one year. This research aims to develop ethylene vinyl alcohol (EVOH) and coated polyethylene terephlate (PET)-based new polymeric structures by exploring how MATS and HPP processes affect the structural and barrier properties of polymeric films. The study will also examine how OTR and WVTR of packaging films, light exposure and intial food conditions affect the shelf-life of processed foods. This research will accomplish three main goals:1. Design and fabricate new multilayer EVOH and coated-PET films with different microlayer thicknesses and additives, and evaluate the properties of these new materials after microwave, high-pressure and retort processing2. Develop kinetic models of food quality deterioration based on the oxygen and water vapor transmission rates of multilayer film, storage temperature, light exposure and initial food conditions, and3. Develop shelf-life prediction models and determine baseline oxygen and water vapor barrier properties of multilayer film-based pouches for three food categories to achieve desired shelf-lives.This research will benefit the polymer industry, food companies, military, NASA and consumers by improving the quality and shelf-life of packaged foods. Findings will allow food companies to select appropriate packaging for specific foods processed using MATS, HPP and retort.","This mechanistic study will investigate how the structural and barrier properties of multilayer polymeric films are affected by both pressure and temperature. The study will inform the development of new materials for emerging technologies as well as conventional thermal processes.The overall goal of this research is to develop high oxygen barrier polymeric films for microwave, high hydrostatic pressure, and retort technologies. Specific objectives are to:1.Design and fabricate new multilayer EVOH and coated-PET films with different microlayer thicknesses and additives, and evaluate the properties of these new materials after microwave, high-pressure and retort processing2.Develop kinetic models of food quality deterioration based on the oxygen and water vapor transmission rates of multilayer film, storage temperature, light exposure and initial food conditions, and3.Develop shelf-life prediction models and determine baseline oxygen and water vapor barrier properties of multilayer film-based pouches for three food categories to achieve desired shelf-lives.","flexible packaging, food quality, oxygen barrier films, packaging technologies, shelf-life"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,1007920,2016-67011-24689,Control of Bacterial RNA Structures and Symbiotic Nitrogen Fixation,National Institute of Food and Agriculture,NIFA Non Formula,79000.0,"Price, JA.",ACTIVE,"Rhizobia can reduce (fix) atmospheric nitrogen to ammonia in a symbiotic association with legumes. Because the limited amount of fixed nitrogen very often limits plant growth, these associations often occupy foundational positions in natural ecosystems and are very important in traditional forms of agriculture. Increasing the utility of nitrogen-fixing symbioses is one way of changing the current dependence of agriculture on industrial nitrogen fertilizers, a practice that generates a number of types of pollution, from soil acidity to atmospheric greenhouse gas generation and ozone destruction. Establishing an effective symbiosis requires the development of root nodules, unique symbiotic organs in which the specialized metabolism of nitrogen fixation, nitrogen assimilation and transport can take place. Both the plant and bacteria change during nodule development. Recent work has shown that members of the CspA family of bacterial RNA binding proteins are highly regulated during symbiotic development. The CspA family is named for the archetypal Cold Shock Proteins, but it is clear that the striking changes in CspA family gene expression during nodule development are not a response to cold stress and suggests instead that their induction/repression is a programmed way of controlling gene expression. In preliminary studies we have found that the set of RNAs that co-purified with different Sinorhizobium meliloti CspA homologs after heterologous expression in E. coli were distinct and were significantly enriched for regulatory RNA sequences containing base paired stem-loop structures. These data support a hypothesis in which riboregulation mediated by different CspA family proteins participates in symbiotic development through their interaction with specific stress or environmentally responsive RNAs. We will specifically address what RNA molecules CspA proteins modulate and how CspA function influences gene expression during symbiosis. Achievement of the proposed aims will begin to define mechanisms of CspA homolog function in rhizobia and expand the current understanding of gene regulation and stress response mechanisms in symbiotic nitrogen fixation. Application of this understanding is critical in ameliorating the financial and environmental cost of industrial nitrogen fertilizer use and is essential to meet future agricultural needs.",The goal of this project is to further the understanding of symbiotic nitrogen fixation by elucidating the mechanism of CspA mediated riboregulation as it relates to changes in bacterial development during the maturation of the symbiotic relationship between nitrogen-fixing rhizobia and legumes. To achieve this goal we will employ the following specific aims:1. Establishing connections between CspA family members and potential target RNAs.2. Determining how CspA proteins influence symbiosis and gene expression.3. Investigating control of CspA family protein expression.,"Cold Shock Protein, Riboregulation, Synbiotic Nitrogen Fixation, sinorhizobium meliloti"
PROJECT,"BOYCE THOMPSON INSTITUTE FOR PLANT RESEARCH, I",1007949,2016-67013-24464,Increasing Rubisco abundance in maize to modify plant performance,National Institute of Food and Agriculture,NIFA Non Formula,459950.0,"Stern, DA, B..",ACTIVE,"Plants incorporate atmospheric carbon dioxide into sugars, a process that ultimately sustains all life on Earth. In agriculture, CO2fixation is a longstanding target for improvement, because doing so could increase yield and reduce environmental impacts of farming through reduced water and fertilizer consumption. This project is based on novel lines of maize that were created, that have a more than 50% increase in the amount of theoretical CO2fixation capacity. These lines were found to have a marked resilience to chilling stress, because in maize chilling stress has a strong negative effect on photosynthesis. Thus, these modifications appear to improve maize tolerance to an important climaticstress. Theproposed work focuses on chilling stress, comparing performance of different maize lines under several chilling regimes at the seedling or grain-filling stages. Plants will be characterized at a molecular level, and whole plant performance will be assessed for photosynthetic parameters, biomass and grain yield. The lines will also be tested in response to water or heat stress, which is often encountered in the field. Together, the results may offer an avenue for improving crop performance under both stress and non-stress conditions.","The major goal of this project is to exploit existing transgenic maize lines that possess higher than normal abundance of the carbon dioxide-fixing enzyme Rubisco. Early results suggest that some of these lines are unusually tolerant to chilling stress, and one goal is to understand this tolerance mechanistically. Another goal is to find whether the novel properties of these lines confer altered tolerance to other stresses, or even confer a potential yield advantage under conditions that might be found during growth in the field. To achieve these goals, the following objectives are proposed:Transgenic and control line performanceswill be compared under several chilling regimes at the seedling or grain-filling stages. This will include molecular analysis of Rubisco-related gene expression, genome-wide RNA analysis, and physiological parameters such as photosynthesis, biomass and grain yield.Transgenic and control line performances will be compared upon exposure to water or heat stress, both of which are often encountered in agriculture.Currently, best-performing lines under chilling stress express additional Rubisco subunits and at least one Rubisco assembly factor through transgenes. New transgenic lines have been received with additional expression of a new Rubisco assembly factor called RAF2. We will determine whether RAF2 overexpression has any effect on the properties of maize plants as related to this proposal (i.e. chilling, heat or water stress).","abiotic stress, c4, carbon dioxide, maize, photosynthesis, rubisco"
PROJECT,SAES - UNIVERSITY OF CALIFORNIA AT BERKELEY,1008240,2016-67012-24717,"Nitric oxide as a biochemical signal impacts microbial N cycling, desiccation tolerance, and soil structure",National Institute of Food and Agriculture,NIFA Non Formula,150000.0,"Sher, YO.",ACTIVE,"Soil is an important resource in terrestrial systems, and microbial activities within soil have significant environmental roles. This project examines the role of the gas nitric oxide (NO) in regulating key soil microbial activities, such as nitrogen cycling, microbial desiccation tolerance and soil aggregate stability. These soil microbial activities are central for terrestrial ecosystems as they control nutrient and water availability in these systems. NO is a product and a regulator of denitrification and nitrification, microbial processes that are important components of the nitrogen cycle; however NO can also control other distinct microbial activities such as biofilm formation. Microorganisms form biofilms, composed of hydroscopic extracellular polymeric substances (EPS), in some cases, as protective habitats against desiccation. In soil, EPS can increase aggregate stability and soil water holding capacity. The hypothesis central to this work is that NO in the soil atmosphere regulates N-processing as well as increasing microbial desiccation tolerance and soil aggregate stability via EPS production. To examine this hypothesis, microbial isolates and soil samples will be exposed to controlled concentrations of NO and analyzed for nitrogen cycling activities, EPS production, desiccation tolerance and soil aggregate stability.","Goals1. Professional goal: The overall goal in this USDA postdoctoral fellowship is to complete my primary training as an independent researcher in the field of soil microbiology.2. Scientific goal: To determine the role of nitric oxide gas as a signal for soil microbial activitiesObjectivesProfessional Objectives-1. Enhance my skills in advanced microbial molecular and sequencing techniques, including attending a workshop on the subject (such as, Argonne Soil Metagenomics workshop- http://press3.mcs.anl.gov/asmw14/);2. Advance my teaching and mentoring capabilities;3. Generate scientific contributions presentations in national and international conferences and publications in scientific journals;4. Widen my circle of colleagues in the scientific community;5. Apply for career research positions towards the end of the fellowshipScientific Objectives-1. Examine the effect of nitric oxide on the activity of soil microbial isolates2. Examine the effect of nitric oxide on the activity of soil microbial communities3. Correlating soil NO emissions to indicators of NO effects on soil microbes in field samples on seasonal and daily timescales?","biofilm, soil, Biochemical Signal, N-cycle, Nitric oxide"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,1008372,2016-67015-24470,Genome Wide Mapping of Alternative Polyadenylation Sites in Cattle,National Institute of Food and Agriculture,NIFA Non Formula,475000.0,"Jiang, ZH.",ACTIVE,"The cattle industry is the largest agricultural enterprise in the United States of America. Although traditional selection methods have significantly improved animal performance in both dairy and beef cattle, the genetic potential for whole genome selection remains relatively untapped. In particular, knowledge and technologies for genomic improvement of meat quality, animal fertility and innate resistance to pathogens are limited because these traits are either difficult to measure and/or have low heritability. Research has shown that many genes have more than one transcriptional end, resulting in functional diversities and dynamics. In the proposed project, we will use our newly developed next generation sequencing method to detect usage of gene transcriptional ends specific to those complex phenotypes described above. We believe our research explores novel molecular mechanisms underlying these economically important traits for real, efficient and effective solutions to advance marker-assisted selection in cattle. Selection of animals who express key genes that influence beef tenderness, palatability, flavor and healthfulness would help gain consumer confidence in beef products. In addition, the novel mechanisms governing host-pathogen interactions discovered in the proposed project would aid in development of effective alternative, non-antibiotic therapies for the treatment of infectious diseases, thus addressing societal concerns by preventing the emergence of multidrug resistant bacteria in lactating dairy cows.","The 3&#39; untranslated regions (3&#39;UTRs) of mRNAs are defined as the sequences located directly after stop codons. Recent studies suggest that 3&#39;UTRs can have either variable sequence composition or nucleotide lengths due to alternative polyadenylation sites (APSs), which cause functional diversity of transcriptomes. Ourmajor scientific goal is to develop bovine APS resources and tools for: 1) supporting the FAANG (functional annotation of animal genomes)initiative; 2) improving gene functional characterization; and 3) promoting whole genome selection in cattle. We plan to accomplish themajorgoal of this application by pursuing the following two specific objectives:Specific Objective #1: Determine genome-wide landscapes of APSs in cattle. We will investigate genome wide distributions of APSs, determine gene, tissue and age-related patterns in APSs and establish potential links between APSs and isoforms. Both APSs and isoforms will be used to further improve gene annotation.Specific Objective #2: Determine functional diversities of APSs in cattle. We will explore roles of APSs in cell biology under challenges for their functional diversities. In particular, we will examine how APSs can change gene functions in qualitative, quantitative and epigenetic manners and how APSs can interact with other genes in response to cellular/physiological processes and environmental challenges.",Whole transcriptome target sequencing; Alternative polyadenylation sites; Gene isoforms; Cattle
PROJECT,SAES - UNIVERSITY OF HAWAII,1008384,2016-67012-24692,CHILD GROWTH MONITORING FOR EVALUATING OBESITY PREVENTION EFFORTS AND PREVALENCE SURVEILLANCE IN HEAD START,National Institute of Food and Agriculture,NIFA Non Formula,149933.0,"ESQUIVEL, MO.",ACTIVE,"The project&#39;s goal is to build a childhood obesity prevention system for early child care settings in Hawaii, including a BMI monitoring system and a teacher continuing education course through institutionalizing continuing education for Headstart (HS) teachers and staff on taking anthropometric measurements and effectively communicating BMI information with parents. Monica Esquivel will be the project director and post-doctoral fellow of the integrated research and education project under the mentorship of Professor Rachel Novotny at the University of Hawaii Manoa. The proposed project will address the foundational area, food safety, nutrition and health, challenge area, childhood obesity prevention in collaboration with Honolulu Community Action Program (HCAP) HS. The fellow will build upon her dissertation research with HCAP HS in an independent program of research and instruction. This project will support HCAP&#39;s five year program goal of having a positive impact on childhood obesity. HCAP support will be provided through continuing education for HS teaching staff on providing early intervention for childhood obesity prevention and by building a data system to evaluate the effects of HS program practices and policies on childhood obesity and dietary intake. The proposed data system will serve as a source for childhood growth and dietary intake surveillance in Hawaii and the greater US Affiliated Pacific Region, where monitoring and surveillance systems are lacking. The project will support the career training and transition to career independence of the post-doctoral fellow through research and education activities that will develop her skills and demonstrate her abilities to conduct research and teach independently.","The goal of the Post-Doctoral (PD) grant is to provide training and experience that supports the PD&#39;s career development in becoming a university faculty member with both research and instruction responsibilities.Objective 1) Gain experience in teaching at the undergraduate university level.Objective 2) To develop, implement and evaluate a continuing education course for Head Start (HS) preschool teachers and staff on childhood obesity, taking anthropometric measurements and effectively communicating BMI information with parents.Objective 3) To develop and deliver the continuing education course via distance education and compare its effectiveness to traditional teaching methodology.Objective 4) To create a system for longitudinal analysis and evaluation of BMI and dietary intake data collected by HS programs using Epi Info software.","child, growth, nutrition, headstart"
PROJECT,AGRICULTURAL RESEARCH SERVICE,1008411,2016-67013-24813,Cloning and validation of new Parastagonospora nodorum necrotrophic effectors and characterization of SnTox1 and the SnTox1-Snn1 interaction,National Institute of Food and Agriculture,NIFA Non Formula,472400.0,"Friesen, TI, LE.",ACTIVE,"Septoria nodorum blotch (SNB) (formerly Stagonospora nodorum blotch) caused by Parastagonospoara nodorum (formerly Stagonospora nodorum) has long been a destructive leaf and head disease problem for both wheat growers and breeders alike. P. nodorum is one of several necrotrophic pathogens (pathogens that feed on newly killed tissue) that affect wheat and wheat relatives. In the Northern Great Plains, consistent yield losses of 5-10% due to SNB occur, generating losses in the Northern Great Plains of more than a billion dollars in the last decade. For breeders, SNB has been a difficult problem to overcome due to the lack of understanding of the underlying basis of the disease. Rarely have major resistance genes been identified, however, many minor quantitative genes that contribute to the overall disease have been identified.Given the decreased cost of DNA sequencing, we are combining next generation sequencing technology and genome wide association mapping, a technology driven by intractable genetic systems, most prominently human and animal systems, to identify genomic regions contributing to SNB of wheat. Additionally, we would like to understand the basic biology of how necrotrophic pathogen-produced proteins (necrotrophic effectors) are triggering cell death, and how this class of pathogens is using these effector proteins to avoid or protect from the effects of the host innate immune system.The ultimate goal of this research is to understand how necrotrophic pathogens interact with their corresponding hosts. This information is critical for the successful development of wheat varieties that harbor durable resistance to this pathogen. Additionally, this knowledge can be applied to other necrotrophic plant pathogen problems in wheat and other important crops.","The major goal of this project is to obtain knowledge about the Parastagonospora nodorum - wheat interaction, specifically focusing on the pathogens use of necrotrophic effectors to induce disease.Objective 1. Use a genome wide association study (GWAS) to identify genomic regions harboring NEs.Objective 2. Investigate the SnTox1-Snn1 interaction and the chitinase protection mechanism of SnTox1","fungus, necrotrophic effector, pathogen, wheat, chitin binding, host selective/specific toxin"
